movie,production_budget,domestic_gross,worldwide_gross,Profit,Percent_Profit,Release_Month,Release_Year
Avatar,425000000,760507625,2776345279,2351345279,5.532577127058824,Dec,2009
Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,635063875,1.5466728567949342,May,2011
Dark Phoenix,350000000,42762350,149762350,-200237650,-0.5721075714285714,Jun,2019
Avengers: Age of Ultron,330600000,459005868,1403013963,1072413963,3.2438413883847548,May,2015
Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,999721747,3.1536963627760253,Dec,2017
Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,1747311220,5.710167385620915,Dec,2015
Avengers: Infinity War,300000000,678815482,2048134200,1748134200,5.827114,Apr,2018
Pirates of the Caribbean: At Worldâs End,300000000,309420425,963420425,663420425,2.2114014166666665,May,2007
Justice League,300000000,229024295,655945209,355945209,1.18648403,Nov,2017
Spectre,300000000,200074175,879620923,579620923,1.9320697433333334,Nov,2015
The Dark Knight Rises,275000000,448139099,1084439099,809439099,2.9434149054545453,Jul,2012
Solo: A Star Wars Story,275000000,213767512,393151347,118151347,0.4296412618181818,May,2018
The Lone Ranger,275000000,89302115,260002115,-14997885,-0.05453776363636364,Jul,2013
John Carter,275000000,73058679,282778100,7778100,0.028284,Mar,2012
Tangled,260000000,200821936,586477240,326477240,1.2556816923076923,Nov,2010
Spider-Man 3,258000000,336530303,894860230,636860230,2.468450503875969,May,2007
Captain America: Civil War,250000000,408084349,1140069413,890069413,3.560277652,May,2016
Batman v Superman: Dawn of Justice,250000000,330360194,867500281,617500281,2.470001124,Mar,2016
The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,767003568,3.068014272,Dec,2012
Harry Potter and the Half-Blood Prince,250000000,302089278,935213767,685213767,2.740855068,Jul,2009
The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,710366855,2.84146742,Dec,2013
The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,695577621,2.782310484,Dec,2014
The Fate of the Furious,250000000,225764765,1234846267,984846267,3.939385068,Apr,2017
Superman Returns,232000000,200120000,374085065,142085065,0.612435625,Jun,2006
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,558241137,2.4271353782608696,May,2017
Quantum of Solace,230000000,169368427,591692078,361692078,1.572574252173913,Nov,2008
The Avengers,225000000,623279547,1517935897,1292935897,5.746381764444444,May,2012
Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,1066215812,841215812,3.7387369422222223,Jul,2006
Man of Steel,225000000,291045518,667999518,442999518,1.9688867466666666,Jun,2013
The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,192341288,0.8548501688888889,May,2008
The Amazing Spider-Man,220000000,262030663,757890267,537890267,2.444955759090909,Jul,2012
Battleship,220000000,65233400,313477717,93477717,0.4248987136363636,May,2012
Transformers: The Last Knight,217000000,130168683,602893340,385893340,1.7783103225806451,Jun,2017
Jurassic World,215000000,652270625,1648854864,1433854864,6.669092390697674,Jun,2015
Men in Black 3,215000000,179020854,654213485,439213485,2.042853418604651,May,2012
Transformers: Revenge of the Fallen,210000000,402111870,836519699,626519699,2.983427138095238,Jun,2009
Transformers: Age of Extinction,210000000,245439076,1104039076,894039076,4.2573289333333335,Jun,2014
X-Men: The Last Stand,210000000,234362462,459260946,249260946,1.1869568857142858,May,2006
Robin Hood,210000000,105487148,322459006,112459006,0.5355190761904762,May,2010
King Kong,207000000,218080025,550517357,343517357,1.6595041400966184,Dec,2005
The Golden Compass,205000000,70107728,367262558,162262558,0.7915246731707317,Dec,2007
Black Panther,200000000,700059566,1348258224,1148258224,5.74129112,Feb,2018
Titanic,200000000,659363944,2208208395,2008208395,10.041041975,Dec,1997
Incredibles 2,200000000,608581744,1242520711,1042520711,5.212603555,Jun,2018
Rogue One: A Star Wars Story,200000000,532177324,1049102856,849102856,4.24551428,Dec,2016
Finding Dory,200000000,486295561,1021215193,821215193,4.106075965,Jun,2016
